event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ	groupK	groupL	groupM	groupN	groupO
CA-18197-20276-50533-50654-57554[INC][1/101]	0	0	0	0	0	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	2.9282703196261664e-4	0	0	0	0	0
CA-18220-3703-10123-10231-11693[INC][238/1]	0.899199532946643	0.899199532946643	0.899199532946643	0.899199532946643	0.899199532946643	0.914317155498491	0.914317155498491	0.914317155498491	0.914317155498491	0.914317155498491	0.9783536009104266	0.9783536009104266	0.9783536009104266	0.9783536009104266	0.9783536009104266
CA-18537-17534-17924-18118-18963[INC][1/115]	4.6294628795e-4	4.6294628795e-4	4.6294628795e-4	4.6294628795e-4	4.6294628795e-4	3.568982660281e-4	3.568982660281e-4	3.568982660281e-4	3.568982660281e-4	3.568982660281e-4	1.913623523205e-4	1.913623523205e-4	1.913623523205e-4	1.913623523205e-4	1.913623523205e-4
CA-319760-5049-6737-6902-8591[INC][1/2][DNT]	0.0027787592383401003	0.0027787592383401003	0.0027787592383401003	0.0027787592383401003	0.0027787592383401003	4.782136034789e-4	4.782136034789e-4	4.782136034789e-4	4.782136034789e-4	4.782136034789e-4	9.821553371683e-4	9.821553371683e-4	9.821553371683e-4	9.821553371683e-4	9.821553371683e-4
CA-18582-38845-39694-39800-41918[INC][54/4]	0.862596857921763	0.862596857921763	0.862596857921763	0.862596857921763	0.862596857921763	0.8510716492375925	0.8510716492375925	0.8510716492375925	0.8510716492375925	0.8510716492375925	0.8817973552565275	0.8817973552565275	0.8817973552565275	0.8817973552565275	0.8817973552565275
CA-18624-62297-71098-71130-111558[INC][1/42]	0.0018242247304212	0.0018242247304212	0.0018242247304212	0.0018242247304212	0.0018242247304212	3.069531528797e-4	3.069531528797e-4	3.069531528797e-4	3.069531528797e-4	3.069531528797e-4	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-18674-3406-4632-4757-4920[INC][2/820]	0.0040113901795157	0.0040113901795157	0.0040113901795157	0.0040113901795157	0.0040113901795157	0.0035718064841268	0.0035718064841268	0.0035718064841268	0.0035718064841268	0.0035718064841268	0.0044485442769675	0.0044485442769675	0.0044485442769675	0.0044485442769675	0.0044485442769675
CA-18674-4757-4920-5042-7257[INC][2/47]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.998357187456361	0.998357187456361	0.998357187456361	0.998357187456361	0.998357187456361	0.979887480722382	0.979887480722382	0.979887480722382	0.979887480722382	0.979887480722382
CA-18685-22452-23505-23665-25928[INC][13/1]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-18707-30554-32616-32727-41313[INC][3/160]	0.0177280341230452	0.0177280341230452	0.0177280341230452	0.0177280341230452	0.0177280341230452	0.0018009995656774	0.0018009995656774	0.0018009995656774	0.0018009995656774	0.0018009995656774	0.0692618840057231	0.0692618840057231	0.0692618840057231	0.0692618840057231	0.0692618840057231
CA-18746-3282-9672-9789-11832[INC][1/1425][UPT]	0	0	0	0	0	0.0010251187113078	0.0010251187113078	0.0010251187113078	0.0010251187113078	0.0010251187113078	0	0	0	0	0
CA-18746-3282-3719-3903-11832[INC][1/1425][UPT]	0	0	0	0	0	7.318434804679e-4	7.318434804679e-4	7.318434804679e-4	7.318434804679e-4	7.318434804679e-4	0	0	0	0	0
CA-18807-14199-14284-14427-14844[INC][115/3]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.868517605910246	0.868517605910246	0.868517605910246	0.868517605910246	0.868517605910246	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-18813-5358-5605-5711-5799[INC][166/1]	0.991216825083856	0.991216825083856	0.991216825083856	0.991216825083856	0.991216825083856	0.6722237453282475	0.6722237453282475	0.6722237453282475	0.6722237453282475	0.6722237453282475	0.989625470065473	0.989625470065473	0.989625470065473	0.989625470065473	0.989625470065473
CA-18826-3589-48692-48811-69954[INC][1/11][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-18826-8520-48692-48811-69954[INC][6/2][UPT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	1	1	1	1	1	1	1	1	1	1
CA-18970-3378-5882-5949-8181[INC][50/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.932030287022363	0.932030287022363	0.932030287022363	0.932030287022363	0.932030287022363
CA-18970-9025-11343-11393-14081[INC][42/2]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.8143727839031785	0.8143727839031785	0.8143727839031785	0.8143727839031785	0.8143727839031785	0.733333333333333	0.733333333333333	0.733333333333333	0.733333333333333	0.733333333333333
CA-18983-6850-11977-12016-13391[INC][1/46]	0.0051845316700686	0.0051845316700686	0.0051845316700686	0.0051845316700686	0.0051845316700686	5.255710229507e-4	5.255710229507e-4	5.255710229507e-4	5.255710229507e-4	5.255710229507e-4	0.0013223577946198	0.0013223577946198	0.0013223577946198	0.0013223577946198	0.0013223577946198
CA-18983-15010-18389-18500-20189[INC][20/1]	0.824339465495405	0.824339465495405	0.824339465495405	0.824339465495405	0.824339465495405	0.8357576237278566	0.8357576237278566	0.8357576237278566	0.8357576237278566	0.8357576237278566	0.898471579674428	0.898471579674428	0.898471579674428	0.898471579674428	0.898471579674428
CA-19025-5052-5283-5439-5757[INC][103/1]	0.823219106642741	0.823219106642741	0.823219106642741	0.823219106642741	0.823219106642741	0.869735160065029	0.869735160065029	0.869735160065029	0.869735160065029	0.869735160065029	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19069-18473-21615-21714-22737[INC][28/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.902698072834537	0.902698072834537	0.902698072834537	0.902698072834537	0.902698072834537	0.872772310769116	0.872772310769116	0.872772310769116	0.872772310769116	0.872772310769116
CA-19069-28862-28976-29095-29651[INC][137/1][DNT]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.909904922534603	0.909904922534603	0.909904922534603	0.909904922534603	0.909904922534603	0.869530558823421	0.869530558823421	0.869530558823421	0.869530558823421	0.869530558823421
CA-19070-3115-8432-8495-16879[INC][118/4][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19070-8495-16879-16980-20303[INC][4/1]	0.900889296761897	0.900889296761897	0.900889296761897	0.900889296761897	0.900889296761897	0.894919675877814	0.894919675877814	0.894919675877814	0.894919675877814	0.894919675877814	0.9950651026329904	0.9950651026329904	0.9950651026329904	0.9950651026329904	0.9950651026329904
CA-19070-16980-20074-20117-20303[INC][120/4]	0.811498026308701	0.811498026308701	0.811498026308701	0.811498026308701	0.811498026308701	0.897144587527285	0.897144587527285	0.897144587527285	0.897144587527285	0.897144587527285	0.885406939146384	0.885406939146384	0.885406939146384	0.885406939146384	0.885406939146384
CA-19073-3114-12832-12977-15649[INC][97/3][UPT][DNT]	0.948811242673154	0.948811242673154	0.948811242673154	0.948811242673154	0.948811242673154	0.9789572063773035	0.9789572063773035	0.9789572063773035	0.9789572063773035	0.9789572063773035	0.926393112753192	0.926393112753192	0.926393112753192	0.926393112753192	0.926393112753192
CA-19156-17145-17877-17952-18721[INC][2075/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.870088481372682	0.870088481372682	0.870088481372682	0.870088481372682	0.870088481372682	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19156-20481-20973-21075-21318[INC][1/425]	0.09402435540605544	0.09402435540605544	0.09402435540605544	0.09402435540605544	0.09402435540605544	0.0074199736725693	0.0074199736725693	0.0074199736725693	0.0074199736725693	0.0074199736725693	0.0057342630301714	0.0057342630301714	0.0057342630301714	0.0057342630301714	0.0057342630301714
CA-19156-24602-24836-24932-25151[INC][294/1]	0.0063847855621957	0.0063847855621957	0.0063847855621957	0.0063847855621957	0.0063847855621957	0.78486465222892	0.78486465222892	0.78486465222892	0.78486465222892	0.78486465222892	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19156-24602-24839-24932-25151[INC][16/1]	0.0060510190820541	0.0060510190820541	0.0060510190820541	0.0060510190820541	0.0060510190820541	0.689892102894575	0.689892102894575	0.689892102894575	0.689892102894575	0.689892102894575	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19166-10565-13356-13430-14961[INC][269/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.60876386617249	0.60876386617249	0.60876386617249	0.60876386617249	0.60876386617249	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19167-3145-7110-7189-11696[INC][1/2][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19167-3145-7110-7217-11696[INC][9/2][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19167-3145-7110-7193-11696[INC][274/2][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
