Regulator	Target	MI	pvalue
1054	1131	0.3028799504248072	1.0
467	56994	0.22776703959132405	1.0
571	391356	0.3130452176200813	1.0
1050	598	0.2758660035589777	1.0
466	148046	0.24982838994066933	1.0
867	54976	0.31205515234846554	1.0
657	134147	0.25832799818174657	1.0
1050	599	0.3039073217838757	1.0
571	79863	0.26110351190188297	1.0
1386	653308	0.3502400455483576	1.0
1050	6792	0.44099658764487604	1.0
865	165055	0.29271989562957046	1.0
1054	1129	0.3201206707778592	1.0
466	79872	0.3229583911035685	1.0
1054	134265	0.24645358271466478	1.0
1046	29945	0.23775673000634345	1.0
1386	256329	0.42528999935547435	1.0
4299	249	0.29950129342458354	1.0
4299	317648	0.2747120691674132	1.0
466	150356	0.2809719535000206	1.0
4299	274	0.3361797341562047	1.0
867	27301	0.43208067160054053	1.0
1052	80115	0.24979513854029634	1.0
1386	161424	0.610042660904111	1.0
602	55909	0.29513571747549755	1.0
1052	80114	0.3220116113431244	1.0
1386	55352	0.4327296883094979	1.0
1386	56683	0.3873804148507373	1.0
466	391356	0.3417782592290006	1.0
1386	54014	0.3538176357502669	1.0
467	55602	0.2653867626734199	1.0
466	55870	0.4536703497418431	1.0
196	5119	0.23239268518273626	1.0
429	148789	0.34954937556870735	1.0
466	80830	0.2267325997545253	1.0
467	56938	0.25000871410022674	1.0
1051	80262	0.23200626316257988	1.0
1388	389206	0.28387727548581587	1.0
1386	66005	0.37122409335901113	1.0
4299	265	0.23109576380914287	1.0
4299	642475	0.360520197914179	1.0
571	126661	0.364491476741426	1.0
865	65985	0.23166358894758687	1.0
604	6833	0.270375058048856	1.0
405	127254	0.2901613752181209	1.0
867	27319	0.24642974064247447	1.0
4299	199857	0.30077281491439223	1.0
196	5129	0.3056198018680852	1.0
867	9311	0.2559538343433996	1.0
1053	83854	0.2579765776314735	1.0
196	84364	0.3832897469858649	1.0
1054	57415	0.2411081215208828	1.0
571	138716	0.29082747183506513	1.0
466	54535	0.2797134243156183	1.0
867	54918	0.3047066277023083	1.0
196	5127	0.3167489882664336	1.0
1052	55143	0.22847758310162192	1.0
367	348254	0.24314223519706246	1.0
745	138724	0.23390019647898086	1.0
867	54942	0.23001780578259634	1.0
1820	81570	0.22922575646844479	1.0
466	124045	0.2507560061361562	1.0
1386	29080	0.2676379738585295	1.0
1820	81571	0.2652961878068014	1.0
1051	81576	0.29046476040511493	1.0
867	9350	0.2349447088676575	1.0
466	80816	0.26060150920993347	1.0
1052	55172	0.27003006384798933	1.0
1050	203054	0.24973009575190064	1.0
571	138724	0.22893969610748854	1.0
1386	81627	0.3255859484236545	1.0
1386	29071	0.23183233559124083	1.0
867	53616	0.4251716195097613	1.0
467	155066	0.22677071874673693	1.0
466	92806	0.30164963005771384	1.0
466	79827	0.27309980829175773	1.0
867	8019	0.24282348182538005	1.0
867	29994	0.5106739956725248	1.0
4299	288	0.3632239508374299	1.0
4299	284	0.2996635634915057	1.0
867	26005	0.33634803114072864	1.0
468	283234	0.2968725874827787	1.0
165	399947	0.2529117504793752	1.0
466	80823	0.2813952988785393	1.0
1051	404734	0.3559655597849618	1.0
1386	56672	0.2973483253075182	1.0
1053	4059	0.24234356895206588	1.0
867	9334	0.36543653720556524	1.0
4435	65057	0.22680427065131958	1.0
571	65260	0.31999259783938544	1.0
1386	29086	0.47538179839070605	1.0
867	9331	0.3546724354572648	1.0
1386	29082	0.36874332113933744	1.0
867	9332	0.24328394152171962	1.0
867	54936	0.45194159554824154	1.0
1388	113540	0.22943149577056143	1.0
571	91526	0.33119273915618513	1.0
467	9976	0.22993597290377998	1.0
1820	142689	0.23544800308574398	1.0
1386	93664	0.30163749161366615	1.0
571	1135	0.3401600544003234	1.0
867	26097	0.2990965706204293	1.0
1386	93663	0.2692327338272582	1.0
867	26099	0.2525931749992525	1.0
867	51057	0.37520456449913997	1.0
467	8553	0.5008117835078011	1.0
468	81873	0.4221276278840486	1.0
1052	253143	0.35967901768009014	1.0
646	84883	0.24862095119567895	1.0
468	55589	0.34532834436962934	1.0
196	100128385	0.24171322840623866	1.0
571	1139	0.23102509110606562	1.0
4299	199800	0.30377320101477845	1.0
1386	54059	0.476589282471177	1.0
571	1137	0.24101264982677417	1.0
1052	80152	0.3271065860553417	1.0
196	60489	0.4426481872950594	1.0
867	63035	0.3711519968504666	1.0
1386	29097	0.2719526354918469	1.0
602	79913	0.23614425003789918	1.0
571	113444	0.3509916925902197	1.0
1052	79161	0.27567057213429624	1.0
4299	389203	0.28090512655965405	1.0
1052	79169	0.32677469129708836	1.0
867	118487	0.5627288334838185	1.0
165	51272	0.2291115341955896	1.0
867	117155	0.2817274079922756	1.0
867	168620	0.24592534281309053	1.0
571	1122	0.434553262481326	1.0
257	256329	0.23404043973898858	1.0
571	1120	0.2695083316362335	1.0
571	1121	0.4860739951007149	1.0
4299	163859	0.3902657219682286	1.0
657	54812	0.22763375917073958	1.0
1388	151887	0.36895021596745003	1.0
602	54622	0.24649705836582303	1.0
867	131450	0.2726052005093553	1.0
1052	55181	0.38967433079727876	1.0
1054	84933	0.24404064299532457	1.0
1386	339201	0.34199734182476105	1.0
196	60496	0.3059448417748536	1.0
165	51267	0.25977282638602883	1.0
867	129138	0.44901117023290205	1.0
571	114769	0.2992362485149185	1.0
165	90871	0.2738255130883953	1.0
4299	401541	0.40881773110523323	1.0
1388	57530	0.22900470053603428	1.0
468	81892	0.432420202557943	1.0
571	1153	0.4301598212014317	1.0
571	1152	0.28219550516000247	1.0
1050	348174	0.3721774626706429	1.0
571	126731	0.32734334229485196	1.0
405	284106	0.47130990575583664	1.0
602	55924	0.24530745081582328	1.0
467	56911	0.2535243213193592	1.0
1052	79140	0.3005317406814436	1.0
367	121642	0.2920214037415027	1.0
1051	138199	0.30958281471050486	1.0
1386	81669	0.32622401698634906	1.0
867	9429	0.267157439097633	1.0
4299	148223	0.41330032679809614	1.0
867	91978	0.3851289295660405	1.0
571	138649	0.35919468541362676	1.0
867	9425	0.42147100325622516	1.0
1386	283870	0.53780655993858	1.0
468	705	0.3495261879940734	1.0
4435	55743	0.22633361712508027	1.0
571	1147	0.31346998959317085	1.0
867	170961	0.2971442711703789	1.0
466	90135	0.2502928541662479	1.0
1388	654434	0.30767760597928273	1.0
405	64801	0.27196585915987814	1.0
367	84836	0.28974344939131963	1.0
571	1149	0.26648925168590587	1.0
466	221120	0.31821888207409743	1.0
867	9411	0.288377867986193	1.0
4299	91272	0.2662061190318732	1.0
867	64377	0.24050090239376498	1.0
367	84832	0.77176104563952	1.0
1386	80325	0.37887265543081694	1.0
1051	1365	0.29603874462341384	1.0
1388	22985	0.2604262483156612	1.0
657	148823	0.2767836606430816	1.0
468	79577	0.37083545011319535	1.0
468	79575	0.28016323282354993	1.0
468	708	0.2869179657724703	1.0
1388	199800	0.26088682277937947	1.0
468	79572	0.3380820155864419	1.0
466	91452	0.38364105527253445	1.0
466	90120	0.27949397051786384	1.0
867	26053	0.2593244150979457	1.0
4299	79572	0.5076274339527057	1.0
4299	79577	0.2816681582738265	1.0
4435	55750	0.2644275213117817	1.0
867	26057	0.43470226895315567	1.0
4299	79575	0.41179065089035005	1.0
4299	81892	0.3849820834280238	1.0
1386	92370	0.26381503956162966	1.0
1386	339229	0.6286489295358615	1.0
657	54840	0.2971407180290937	1.0
604	388962	0.3345024194316726	1.0
165	26287	0.2321335224804182	1.0
1051	414152	0.24469556537484038	1.0
1386	339231	0.4027044650144953	1.0
468	140710	0.2777512412840455	1.0
604	388969	0.3001716482853958	1.0
1386	339230	0.5083159573790788	1.0
571	90120	0.3008265763454456	1.0
571	91452	0.3654821201188886	1.0
1386	5926	0.6875505503479052	1.0
367	1201	0.3400109218259093	1.0
867	51019	0.29081139932823596	1.0
466	80790	0.259223035369438	1.0
867	26060	0.46144067063037114	1.0
196	284047	0.2676052710162624	1.0
867	54994	0.3457381046345738	1.0
466	91442	0.25467992236118153	1.0
745	114800	0.24422272687283186	1.0
867	54991	0.30915207138811807	1.0
867	54998	0.6091608694533204	1.0
867	168667	0.24562591655629262	1.0
4299	79586	0.24116329029116437	1.0
867	51005	0.4435520079797888	1.0
4299	79587	0.3603459247322425	1.0
602	79949	0.3135735309157264	1.0
1820	129790	0.23223251307369708	1.0
602	27032	0.2412928950278337	1.0
657	54859	0.28509231425182185	1.0
196	285382	0.3245825515354806	1.0
571	90135	0.2979847383228054	1.0
165	51225	0.3172960922495953	1.0
657	29882	0.33398601220501667	1.0
367	1213	0.46587013699936775	1.0
367	1212	0.6641023050114339	1.0
367	1211	0.630074209950563	1.0
867	51008	0.24999626567940147	1.0
4299	400258	0.22851806181557155	1.0
430	144097	0.2362580163500203	1.0
468	140701	0.2498732041495062	1.0
468	738	0.3550126526822215	1.0
867	166012	0.26391529500613453	1.0
4299	210	0.29028986560457337	1.0
1050	374467	0.2490567836016062	1.0
571	1111	0.271082860662776	1.0
468	56895	0.2277196626122926	1.0
4299	79598	0.5203983947994318	1.0
657	27241	0.23748000365463096	1.0
1388	10965	0.3362204162258009	1.0
468	56899	0.34242023804057364	1.0
367	145645	0.2607461856767719	1.0
571	283450	0.32903502671897567	1.0
1820	81611	0.2502689176386763	1.0
1050	145407	0.2853389338382408	1.0
657	54823	0.26305013106882846	1.0
196	84433	0.3273465990890805	1.0
1052	79184	0.28764463957460507	1.0
1051	2647	0.24794521363380628	1.0
196	60468	0.37939309424169354	1.0
466	790955	0.43760186994123895	1.0
867	64343	0.25796281913320573	1.0
468	113146	0.33594002022187563	1.0
466	80776	0.3527327153603492	1.0
367	84886	0.26215600582027676	1.0
865	51286	0.232893852850526	1.0
646	83539	0.40972724073910827	1.0
1050	375790	0.23276384835787045	1.0
1050	375791	0.2688488431277484	1.0
1051	57863	0.3126393888595069	1.0
405	26511	0.3267882793051724	1.0
4299	215	0.40477362646461046	1.0
4299	216	0.23953341203191325	1.0
657	27237	0.32868778042775126	1.0
4299	217	0.2663102670809607	1.0
1051	56548	0.23365182933043016	1.0
468	55571	0.22734633019364026	1.0
1388	57584	0.30295168732047184	1.0
468	746	0.48873732900329026	1.0
4299	202	0.28349023349560315	1.0
468	55573	0.31686381482674797	1.0
867	51027	0.39242137527567744	1.0
867	118429	0.24366534887392355	1.0
571	1106	0.2814948571144402	1.0
571	1105	0.3830751932173766	1.0
657	339541	0.2907614148667812	1.0
466	79798	0.30089355481769664	1.0
745	79780	0.254324328699691	1.0
602	55973	0.2344233690423856	1.0
867	26090	0.3709214869955989	1.0
657	27243	0.34707274674832833	1.0
4299	203	0.28451043345994104	1.0
1386	81693	0.3174365972610089	1.0
405	752014	0.4227585659188149	1.0
867	26093	0.22682593216339875	1.0
4299	204	0.3150450235583584	1.0
1051	55216	0.2936550384412027	1.0
196	23466	0.284769877236781	1.0
405	26580	0.4199052132497465	1.0
468	755	0.40163126457152976	1.0
196	23460	0.33067051456960816	1.0
657	54880	0.306398981776808	1.0
468	753	0.24775410213411497	1.0
657	54882	0.2980281214038596	1.0
1820	404220	0.27507111322511335	1.0
